name,price,demographic,category,featured,image
Halter Mini Dress,86,F,Dresses,1,0ec3f7000d9083cb6afb1e9551cf52cb8917fcc5.jpg
Lace Belted Dress,59,F,Dresses,0,1ca4afca0a214669ffd8970d131488a9f836a55f.jpg
Mermaid Prom Dress,41,F,Dresses,1,2a61ed44a2521ad74f013f12b1ecc1123b09303f.jpg
Off-Shoulder Dress,56,F,Dresses,0,3c0b254dd4ee477086319b4a5a82bcb215a66e1f.jpg
High-Neck Homecoming Dress,50,F,Dresses,0,9d1f893c8a597bad5392405baffde9820f75a42c.jpg
Butterfly Print Romper,71,F,Dresses,0,9ecdfd0f491d0c11666d35c0a631100a3f40f983.jpg
Vintage Swing Dress,26,F,Dresses,0,16fa624fd98aaecfef6863d99729535566638c5e.jpg
Long Sleeve High Collar Mini Dress,35,F,Dresses,1,025ed996f97f099fd93ee3dc9e6fdcbbb95ded31.jpg
Sleeve Maxi Dress,30,F,Dresses,0,49df2f3f48eca5d8106ba9df7b87bf631d70a71d.jpg
Retro Long Sleeve Dress,81,F,Dresses,0,078df8777ad95a776ce10ca248a73ddfaa1122dc.jpg
Lace Evening Dress,60,F,Dresses,0,711eeeccbe4a36be1f000dc0d19d7aa97c64a43f.jpg
Black Sundress,90,F,Dresses,0,828f09e60067ab62cef31ddd50681166a5f3bed7.jpg
Lace-Up Gothic Dress,88,F,Dresses,0,9567cb75efeaf3cc2b6d55ed52466f8d34df78d3.jpg
Carmela Front Knit Dress,44,F,Dresses,1,a250535ab38ca6d1f27fb832305305d525197eb3.jpg
Long Sleeve Lace Pencil Dress,66,F,Dresses,0,cefffefb0cee7fafd65de0891129c3481158dd1d.jpg
Vintage Tie Neck Formal Dress,87,F,Dresses,0,cf8aad89840634a558d1504dfef983712f5fa976.jpg
