name,price,demographic,category,featured,image
High Heels Simple Stiletto,36,F,Shoes,0,00eca86dfc4620a77a45bdafe470a44437e5e9a0.jpg
Nina Ankle Strap Heel,67,F,Shoes,0,0a6d29d8f08a5b6409d0e28858eb8f23411e9f20.jpg
Adventure Boots,40,F,Shoes,0,1b5bfc802ba0777b5b3a7c61433c2ca98d51161a.jpg
Vegan Pointed Toe Anke Boots,31,F,Shoes,1,2e652a968c2ee070c005f4d03050304aa1cb920a.jpg
Chicago Pastel Sneakers,70,F,Shoes,1,3bf9ef4b2e13f7ab04d0fb4bdedba20c5fb39757.jpg
Emarald Green Wedding Shoe,56,F,Shoes,0,3c9322185f56e8985a9dac61de94f805bfed5565.jpg
Soft Pebbled Leather Loafers,49,F,Shoes,0,3e443c30dc7d004b2e44ac93b61304a1048a87ec.jpg
Mid Calf Boots ,52,F,Shoes,0,5a9c174a3bc971b5344a392fb391090244caf51e.jpg
Pointed Toe Mid Wooden Heel,39,F,Shoes,0,5b8821774e8f8bcd2d39c0a46088781661f85e16.jpg
Pinup Couture Wiggle,63,F,Shoes,0,6a016bb15a5bb409d892975a2a8f3f33cbe1ef2d.jpg
