name,price,demographic,category,featured,image
Canvas Tennis Shoes,49,M,Shoes,0,00a9e2fb75e93c3c757b1ff908d9fcc7097f6c46.jpg
Oxford Brick Shoes,84,M,Shoes,0,0b2edf40d3b9e91376564b201b781569aa532fd7.jpg
Classic Saddle Shoes,77,M,Shoes,1,0bae63b58f21b725fdd87d48d15a045c5896ff9c.jpg
Velven Slip-Ons,90,M,Shoes,1,0e601c02c19cbea6ea5bf4d26376a335cb73b43a.jpg
Seeley Trainers,86,M,Shoes,0,0f58be69e30c555bd438e78b27b48ff692f98e8c.jpg
Gunuine Leather Cap Toe,73,M,Shoes,0,1cb7d1ab602fc3472a32c7ea3c0d0f09d2d9c5b2.jpg
Oxford Lace-Up Shoes,56,M,Shoes,0,2ee1746aacd7d31ab3a941934a11b9b34ae884bc.jpg
Spikeless Golf Shoe,71,M,Shoes,0,3a614975ca5114c222d3801a2c766b0a84265ae3.jpg
Rusell Loafers,44,M,Shoes,0,3e2ee472a82c1ab388c55aa064259da27dc6a5db.jpg
Low-Cut Sneakers,51,M,Shoes,0,4a2a7e0ced3e9462df02989c2ce8111e3221715e.jpg
Top-Sider Boat Shoes,43,M,Shoes,0,8be6c362f8e913e510995ba7d7db9165e917ae88.jpg
